Date,Close,Volume,anger,fear,negative,positive,sadness,trust,anticipation,joy,disgust,surprise,anticip,word_count
2016-09-21,37.450001,21233700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-09-26,36.650002,25518800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666
2016-09-28,37.439999,19020800.0,0.0,0.0,0.008333333333333325,0.0,0.0,0.008333333333333325,0.0,0.0,0.0,0.0,0.0,10.25
2016-09-29,37.32,17675000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
2016-09-30,37.75,24279300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-10-03,37.66,14113600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-10-06,38.07,15171400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2016-10-10,38.02,14954300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2016-10-11,37.27,27650500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-10-12,37.130001,14053900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-10-13,36.970001,16936000.0,0.0,0.0,0.0,0.0111111111111111,0.0,0.005555555555555533,0.005555555555555533,0.005555555555555533,0.0,0.005555555555555533,0.0,9.333333333333334
2016-10-14,37.450001,19123900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2016-10-18,37.75,42907800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-10-19,35.509998,75229000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2016-10-20,35.43,25669500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2016-10-24,35.259998,21524700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-10-25,35.099998,17860300.0,0.008928571428571425,0.0,0.0,0.0,0.0,0.0,0.008928571428571425,0.0,0.0,0.0,0.0,10.75
2016-10-26,34.91999800000001,19977600.0,0.0,0.0,0.003246753246753243,0.0,0.0,0.003246753246753243,0.0,0.0,0.0,0.0,0.0,11.214285714285714
2016-10-27,34.810001,14634700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
2016-10-28,34.740002,22296400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
2016-10-31,34.869999,19188600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-11-01,34.52,25368200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2016-11-09,34.75,25999400.0,0.0,0.00925925925925925,0.035449735449735426,0.0,0.01785714285714285,0.008333333333333325,0.00925925925925925,0.0,0.0,0.0,0.0,10.0
